card_name,image,attack,defence,card_type,level,type
Destiny HERO - Dreadmaster,https://uploads1.yugioh.com/card_images/2505/list/392.jpg?1385098689,0,0,Effect Monster,8,Warrior
Destiny HERO - Dunker,https://uploads1.yugioh.com/card_images/4358/list/D-HERO-Dunker.jpg?1386956768,1200,1700,Effect Monster,4,Warrior
Destiny HERO - Fear Monger,https://uploads2.yugioh.com/card_images/4359/list/D-Hero-Fear-Monger.jpg?1386956800,1000,1000,Effect Monster,4,Warrior
Destiny HERO - Malicious,https://uploads1.yugioh.com/card_images/4360/list/D-HERO-Malicious.jpg?1386956831,800,800,Effect Monster,6,Warrior
Destiny HERO - Plasma,https://uploads2.yugioh.com/card_images/4767/list/D-Hero-Plasma_FL.jpg?1394728365,1900,600,Effect Monster,8,Warrior
Destiny Mirage,https://uploads4.yugioh.com/card_images/2812/list/3714.jpg?1385127027,,,Normal Trap,,
Destiny Overlay,https://uploads4.yugioh.com/card_images/5182/list/Destiny-Overlay.jpg?1422910147,,,Spell,,
Destiny Signal,https://uploads3.yugioh.com/card_images/2498/list/373.jpg?1385098675,,,Normal Trap,,
Destruct Potion,https://uploads3.yugioh.com/card_images/5382/list/Destruct-Potion.jpg?1439915787,,,Normal Trap,,
Destruction Insurance,https://uploads4.yugioh.com/card_images/4822/list/Destruction-Insurance.jpg?1395081663,,,Equip Spell,,
Destruction of Destiny,https://uploads2.yugioh.com/card_images/2567/list/375.jpg?1385098819,,,Normal Trap,,
Destruction Reward,https://uploads1.yugioh.com/card_images/5281/list/Killing-Reward.jpg?1423158708,,,Trap,,
Deuce,https://uploads3.yugioh.com/card_images/4811/list/Deuce-%28Temp%29.jpg?1395081088,,,Continuous Spell,,
Devoted Gardna,https://uploads2.yugioh.com/card_images/5383/list/Devoted_Gardna.jpg?1439915850,1000,1000,Effect Monster,3,Warrior
Devoted Love,https://uploads2.yugioh.com/card_images/5184/list/Devoted-Love.jpg?1422910697,,,Quick-Play Spell,,
Diabound Kernel,https://uploads4.yugioh.com/card_images/1474/list/2930.jpg?1385101739,1800,1200,Effect Monster,5,Fiend
Diamond Dust,https://uploads2.yugioh.com/card_images/5185/list/Diamond-Dust.jpg?1422910818,,,Trap,,
Diamond Head Dragon,https://uploads1.yugioh.com/card_images/115/list/Diamond-Head-Dragon.jpg?1374696946,0,2800,Effect Monster,8,Dragon
Diamond-Dust Cyclone,https://uploads2.yugioh.com/card_images/4823/list/Diamonddust-Cyclone.jpg?1395254065,,,Quick-Play Spell,,
Dian Keto the Cure Master,https://uploads4.yugioh.com/card_images/1774/list/1354.jpg?1385102343,,,Normal Spell/Spell,,
Dice Crisis,https://uploads1.yugioh.com/card_images/739/list/Dice-crisis.jpg?1380293941,,,Continuous Trap,,
Dice Dungeon,https://uploads2.yugioh.com/card_images/117/list/Dice-Dungeon.jpg?1374696972,,,Field Spell,,
Dice Leveler,https://uploads3.yugioh.com/card_images/4824/list/Dice-Leveler_correct.jpg?1395254107,100,100,Effect Monster,,Fairy
Different Dimension Barrier - Lost Force,https://uploads1.yugioh.com/card_images/4825/list/Different-Dimension-Barrier---Lost-Force.jpg?1395254442,,,Normal Trap,,
Different Dimension Capsule,https://uploads1.yugioh.com/card_images/1940/list/2573.jpg?1385102679,,,Normal Spell,,
Different Dimension Deepsea Trench,https://uploads4.yugioh.com/card_images/847/list/%E7%95%B0%E6%AC%A1%E5%85%83%E6%B5%B7%E6%BA%9D.jpg?1381336045,,,Continuous Spell,,
Different Dimension Dragon,https://uploads2.yugioh.com/card_images/1256/list/1135.jpg?1385099359,1200,1500,Effect Monster,5,Dragon
Different Dimension Hangar,https://uploads1.yugioh.com/card_images/5384/list/Different_Dimension_Hangar.jpg?1439915949,,,Continuous Spell,,
Diffusion Wave-Motion,https://uploads2.yugioh.com/card_images/118/list/Diffusion-Wave.jpg?1374697044,,,Normal Spell,,
"Digvorzhak, King of Heavy Industry",https://uploads3.yugioh.com/card_images/707/list/Heavy-Machinery-King-Doboku-Zaku.jpg?1380229848,3200,2000,Xyz Monster/Effect Monster,,Machine
Dimension Dice,https://uploads1.yugioh.com/card_images/119/list/Dimension-Dice.jpg?1374697083,,,Normal Spell,,
Dimension Equilibrium,https://uploads2.yugioh.com/card_images/3671/list/5993.jpg?1385134843,,,Normal Trap,,
Dimension Explosion,https://uploads2.yugioh.com/card_images/5385/list/Dimension_Explosion.jpg?1439916010,,,Quick-Play Spell,,
Dimension Fusion,https://uploads3.yugioh.com/card_images/1152/list/1260.jpg?1385099150,,,Normal Spell,,
Dimension Fusion Destruction,https://uploads4.yugioh.com/card_images/5386/list/Dimension_Fusion_Destruction.jpg?1439916068,,,Normal Spell,,
Dimension Gate,https://uploads1.yugioh.com/card_images/5186/list/Dimensional-Gate.jpg?1422910905,,,Continuous Trap,,
Dimension Switch,https://uploads1.yugioh.com/card_images/3645/list/5760.jpg?1385134789,,,Continuous Trap,,
Dimension Trap,https://uploads3.yugioh.com/card_images/3537/list/6039.jpg?1385134570,,,Normal Trap,,
Dimension Voyage,https://uploads2.yugioh.com/card_images/4826/list/Dimension-Voyage.jpg?1395254686,,,Normal Trap,,
Dimension Wanderer,https://uploads2.yugioh.com/card_images/924/list/%E3%83%87%E3%82%A3%E3%83%A1%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%BB%E3%83%AF%E3%83%B3%E3%83%80%E3%83%A9%E3%83%BC.jpg?1382388870,0,0,Effect Monster,,Spellcaster
Dimensional Catapult,https://uploads1.yugioh.com/card_images/5387/list/Dimensional_Catapult.jpg?1439916128,,,Equip Spell,,
Dimensional Fissure,https://uploads3.yugioh.com/card_images/4198/list/341.jpg?1385098839,,,Continuous Spell,,
Dimensional Prison,https://uploads2.yugioh.com/card_images/5388/list/Dimensional_Prison.jpg?1439916286,,,Normal Trap,,
Dimensionhole,https://uploads3.yugioh.com/card_images/1485/list/1939.jpg?1385101762,,,Normal Spell,,
Direct Magnet,https://uploads1.yugioh.com/card_images/4827/list/Direct-Magnet.jpg?1395254820,,,Quick-Play Spell,,
Disaster Conspiracy,https://uploads4.yugioh.com/card_images/5162/list/Conspiratorial-Catastrophe_STONE.jpg?1422650647,,,Trap,,
Disc Fighter,https://uploads2.yugioh.com/card_images/944/list/036.jpg?1382471855,1000,1000,Effect Monster,4,Warrior
Discord,https://uploads1.yugioh.com/card_images/4031/list/5021.jpg?1385135588,,,Continuous Trap,,
Discord Counter,https://uploads2.yugioh.com/card_images/3887/list/5263.jpg?1385135296,,,Counter Trap,,
Disgraced Mage,https://uploads1.yugioh.com/card_images/4599/list/Disgraced-Mage_FL.jpg?1390512835,1700,1400,Effect Monster,4,Zombie
Disgraceful Charity,https://uploads2.yugioh.com/card_images/4829/list/Disgraceful-CharityJP.jpg?1395255302,,,Normal Trap,,
Divination of Fate,https://uploads3.yugioh.com/card_images/5389/list/Divination_of_Fate.jpg?1439916358,,,Normal Spell,,
Divine Chalice,https://uploads2.yugioh.com/card_images/4830/list/Divine-Chalice_FL.jpg?1395255517,,,Quick-Play Spell,,
Divine Dragon Ragnarok,https://uploads4.yugioh.com/card_images/1247/list/1125.jpg?1385099342,1500,1000,Normal Monster,4,Dragon
Divine Sword - Phoenix Blade,https://uploads2.yugioh.com/card_images/4955/list/Shinken-Phoenix-Blade_FL.jpg?1398379962,,,Equip Spell,,
Divine Wind,https://uploads2.yugioh.com/card_images/4831/list/Divine-Wind.jpg?1395255561,,,Counter Trap,,
Divine Wrath,https://uploads4.yugioh.com/card_images/1820/list/1429.jpg?1385102436,,,Counter Trap,,
Diving Exploder,https://uploads1.yugioh.com/card_images/3479/list/4960.jpg?1385134456,0,0,Effect Monster,1,Machine
Dizzy Angel,https://uploads3.yugioh.com/card_images/4832/list/Dizzy-Angel-%28Temp%29.jpg?1395255666,1800,400,Effect Monster,4,Fairy
Dizzy Tiger,https://uploads3.yugioh.com/card_images/4833/list/Dizzy-Tiger-%28Temp%29.jpg?1395255713,1800,600,Effect Monster,4,Beast-Warrior
Djinn Cycle,https://uploads1.yugioh.com/card_images/5183/list/Devil-Motor.jpg?1422910214,400,400,Effect Monster,,Machine
Djinn Orchestra,https://uploads1.yugioh.com/card_images/5187/list/Djinn-Orchestra.jpg?1422910947,,,Spell,,
DNA Surgery,https://uploads3.yugioh.com/card_images/121/list/DNA-Surgery.jpg?1374697429,,,Continuous Trap,,
DNA Transplant,https://uploads2.yugioh.com/card_images/4834/list/DNA-Transplant.jpg?1395255811,,,Continuous Trap,,
Doble Passe,https://uploads1.yugioh.com/card_images/1309/list/1194.jpg?1385099465,,,Normal Trap,,
Doctor D,https://uploads1.yugioh.com/card_images/4835/list/Doctor-D.jpg?1395255957,,,Normal Spell,,
Dodge Roll,https://uploads3.yugioh.com/card_images/4836/list/Dodge-Roll.jpg?1395256002,,,Normal Trap,,
Dododo Bot,https://uploads4.yugioh.com/card_images/4837/list/Dododo-Bot.jpg?1395256057,1800,1900,Effect Monster,,Machine
Dododo Buster,https://uploads2.yugioh.com/card_images/5188/list/Dododo-Buster.jpg?1422911048,1900,800,Effect Monster,,Warrior
Dododo Swordsman,https://uploads4.yugioh.com/card_images/5189/list/Dododo-Gasser.jpg?1422911125,0,3000,Effect Monster,,Fiend
Dododo Warrior,https://uploads3.yugioh.com/card_images/605/list/Dododo-Warrior.jpg?1380219849,2300,900,Effect Monster,,Warrior
Dododo Witch,https://uploads4.yugioh.com/card_images/5190/list/Dododo-Witch.jpg?1422911173,1200,1600,Effect Monster,,Spellcaster
Dogking,https://uploads1.yugioh.com/card_images/797/list/Dog-cking.jpg?1380823573,,,Equip Spell,,
Doll Chimera,https://uploads4.yugioh.com/card_images/4554/list/Doll-Cymera.jpg?1389374435,0,0,Effect Monster,5,Spellcaster
Doll Hammer,https://uploads1.yugioh.com/card_images/4553/list/Doll-Hammer.jpg?1389374374,,,Normal Spell,,
Doll of Demise,https://uploads2.yugioh.com/card_images/2899/list/4398.jpg?1385127193,1600,1700,Normal Monster,4,Fiend
Doll Part Blue,https://uploads3.yugioh.com/card_images/4552/list/Dollparts-Blue.jpg?1389374330,0,0,Normal Monster,1,Spellcaster
Doll Part Gold,https://uploads4.yugioh.com/card_images/4551/list/Dollparts-Gold.jpg?1389374273,0,0,Normal Monster,1,Spellcaster
Doll Part Pink,https://uploads4.yugioh.com/card_images/4549/list/Dollparts-Pink.jpg?1389374143,0,0,Normal Monster,1,Spellcaster
Doll Part Red,https://uploads1.yugioh.com/card_images/4550/list/Dollparts-Red.jpg?1389374231,0,0,Normal Monster,1,Spellcaster
Doma The Angel of Silence,https://uploads4.yugioh.com/card_images/1853/list/2308.jpg?1385102503,1600,1400,Normal Monster,5,Fairy
Domino Effect,https://uploads3.yugioh.com/card_images/3546/list/5241.jpg?1385134588,,,Continuous Spell,,
Don Zaloog,https://uploads4.yugioh.com/card_images/1637/list/2551.jpg?1385102068,1400,1500,Effect Monster,4,Warrior
Doom Dozer,https://uploads2.yugioh.com/card_images/3038/list/4094.jpg?1385127453,2800,2600,Effect Monster,8,Insect
Doom Petal Countdown,https://uploads1.yugioh.com/card_images/3402/list/5253.jpg?1385134303,,,Continuous Trap,,
Doom Ray,https://uploads2.yugioh.com/card_images/4839/list/Dooms-Ray.jpg?1395256133,,,Normal Trap,,
Doomcaliber Knight,https://uploads1.yugioh.com/card_images/1692/list/2895.jpg?1385102177,1900,1800,Normal Monster,4,Zombie
Door to Mirrorland,https://uploads3.yugioh.com/card_images/4548/list/Door_to_Mirrorland.jpg?1389374085,,,Normal Spell,,
Doppelganger,https://uploads3.yugioh.com/card_images/5298/list/doppelganger_HD.jpg?1426609675,,,Continuous Trap,,
Doppelwarrior,https://uploads4.yugioh.com/card_images/1134/list/1068.jpg?1385099114,800,800,Effect Monster,2,Warrior
Doppleganger,https://uploads1.yugioh.com/card_images/5297/list/Doppleganger-CardFL.jpg?1426608946,,,Normal Spell,,
Dormant Volcano,https://uploads3.yugioh.com/card_images/4840/list/Dormant-Volcano_FL.jpg?1395256206,,,Normal Trap,,
Doron,https://uploads4.yugioh.com/card_images/4841/list/Doron.jpg?1395256527,900,500,Normal Monster,,Warrior
Dotedotengu,https://uploads2.yugioh.com/card_images/5191/list/Dotedotengu.jpg?1422911263,0,800,Effect Monster,,Fiend
Double Arms,https://uploads1.yugioh.com/card_images/3405/list/6065.jpg?1385134310,,,Equip Spell,,
Double Bind,https://uploads2.yugioh.com/card_images/5132/list/Bi-Bind.jpg?1412271091,,,Quick-Play Spell,,
Double Check,https://uploads3.yugioh.com/card_images/5192/list/Double-Check.jpg?1422911298,,,Quick-Play Spell,,
Double Cloth Armor,https://uploads4.yugioh.com/card_images/1598/list/1849.jpg?1385101988,0,0,Armor Monster,6,Machine
Double Cyclone,https://uploads3.yugioh.com/card_images/4842/list/double_cyclone.jpg?1395257295,,,Normal Spell,,
Double Defender,https://uploads2.yugioh.com/card_images/671/list/Double-defender.jpg?1380227282,,,Continuous Spell,,
Double Delta Warrior,https://uploads1.yugioh.com/card_images/5390/list/Double_Delta_Warrior.jpg?1439916482,0,2100,Effect Monster,6,Warrior
Double Fin Shark,https://uploads4.yugioh.com/card_images/5193/list/Double-Fin-Shark.jpg?1422911337,1000,1200,Effect Monster,,Fish
Double Fusion,https://uploads1.yugioh.com/card_images/4843/list/Double-Fusion.jpg?1395257434,,,Normal Spell,,
Double Magical Arm Bind,https://uploads3.yugioh.com/card_images/2372/list/1741.jpg?1385103555,,,Normal Trap,,
Double or Nothing!,https://uploads4.yugioh.com/card_images/1282/list/694.jpg?1385099411,,,Quick-Play Spell,,
Double Ripple,https://uploads4.yugioh.com/card_images/3697/list/5019.jpg?1385134898,,,Normal Spell,,
Double Spell,https://uploads2.yugioh.com/card_images/4844/list/Double-SpellFL.jpg?1395257504,,,Normal Spell,,
Double Summon,https://uploads1.yugioh.com/card_images/3721/list/5247.jpg?1385134950,,,Normal Spell,,
Double Tension,https://uploads2.yugioh.com/card_images/787/list/Bi-Tension.jpg?1380749431,,,Quick-Play Spell,,
Double Tool C&D,https://uploads1.yugioh.com/card_images/4095/list/5308.jpg?1385135718,,,Equip Spell,,
Double Tribute,https://uploads4.yugioh.com/card_images/4093/list/5306.jpg?1385135714,,,Normal Trap,,
Double Type Rescue,https://uploads3.yugioh.com/card_images/4131/list/5755.jpg?1385135791,,,Normal Trap,,
Doubulldog,https://uploads4.yugioh.com/card_images/796/list/Double-dog.jpg?1380823505,,,Normal Spell/Spell,,
Down Burst,https://uploads2.yugioh.com/card_images/3802/list/5754.jpg?1385135120,,,Normal Trap,,
Down Force,https://uploads2.yugioh.com/card_images/5391/list/Down_Force.jpg?1439931316,,,Counter Trap,,
Dowsing Burn,https://uploads3.yugioh.com/card_images/4564/list/dowsing-Burn.jpg?1389809131,,,Normal Spell,,
Dowsing Point,https://uploads1.yugioh.com/card_images/4845/list/Dowsing-Point.jpg?1395257562,,,Normal Trap,,
Dragon Capture Jar,https://uploads2.yugioh.com/card_images/258/list/Dragon-Capture-Jar.jpg?1375127335,,,Continuous Trap,,
Dragon Dance,https://uploads2.yugioh.com/card_images/5194/list/Dragon-Dance.jpg?1422911406,,,Trap,,
Dragon Heart,https://uploads1.yugioh.com/card_images/4849/list/Dragon-Heart.jpg?1395257897,,,Normal Spell,,
Dragon Knight Draco-Equiste,https://uploads1.yugioh.com/card_images/3809/list/5963.jpg?1385135135,3200,2000,Fusion Monster/Effect Monster,10,Dragon
Dragon Lady,https://uploads2.yugioh.com/card_images/4850/list/Dragon-Lady.jpg?1395257963,2500,2100,Effect Monster,7,Warrior
Dragon Master Knight,https://uploads1.yugioh.com/card_images/2331/list/1835.jpg?1385103472,5000,5000,Fusion Monster/Effect Monster,12,Dragon
Dragon Nails,https://uploads3.yugioh.com/card_images/2848/list/4632.jpg?1385127097,,,Equip Spell,,
Dragon Piper,https://uploads4.yugioh.com/card_images/125/list/Dragon-Piper.jpg?1374697592,200,1800,Effect Monster,3,Pyro
Dragon Queen of Tragic Endings,https://uploads4.yugioh.com/card_images/4019/list/5210.jpg?1385135564,1900,2600,Effect Monster,6,Dragon
Dragon Revival Ritual,https://uploads3.yugioh.com/card_images/126/list/Dragon-Revival-Ritual.jpg?1374697617,,,Ritual Spell,,
Dragon Seeker,https://uploads3.yugioh.com/card_images/3084/list/4212.jpg?1385127536,2000,2100,Effect Monster,6,Fiend
Dragon Shield,https://uploads1.yugioh.com/card_images/5195/list/Dragon-Shield.jpg?1422911435,,,Equip Spell,,
Dragon Treasure,https://uploads1.yugioh.com/card_images/1700/list/2078.jpg?1385102193,,,Equip Spell,,
Dragon Zombie,https://uploads3.yugioh.com/card_images/4851/list/Dragon-Zombie-FL.jpg?1395258017,1600,0,Normal Monster,3,Zombie
Dragon's Gunfire,https://uploads1.yugioh.com/card_images/4222/list/3370.jpg?1385127089,,,Normal Spell,,
Dragon's Rage,https://uploads2.yugioh.com/card_images/1394/list/1675.jpg?1385101584,,,Continuous Trap,,
Dragoness the Wicked Knight,https://uploads2.yugioh.com/card_images/128/list/Dragoness-the-wicked-knight.jpg?1374697695,1200,900,Fusion Monster,3,Warrior
Dragonic Divine,https://uploads1.yugioh.com/card_images/5196/list/Dragonic-Divine.jpg?1422911533,,,Spell,,
Drain Strike,https://uploads3.yugioh.com/card_images/3862/list/5238.jpg?1385135244,,,Equip Spell,,
Drain Time,https://uploads3.yugioh.com/card_images/4852/list/Drain-Time.jpg?1395258075,,,Normal Spell,,
Draining Shield,https://uploads1.yugioh.com/card_images/953/list/059.jpg?1382472381,,,Normal Trap,,
Dramatic Crossroads,https://uploads1.yugioh.com/card_images/1296/list/1181.jpg?1385099440,,,Normal Trap,,
Dramatic Pose,https://uploads4.yugioh.com/card_images/4828/list/Dramatic-Pose_FL.jpg?1395254908,,,Normal Spell,,
Draw Blast,https://uploads2.yugioh.com/card_images/5392/list/Draw-Blast.jpg?1439931443,,,Normal Trap,,
Draw Paradox,https://uploads4.yugioh.com/card_images/4853/list/Draw-Paradox.jpg?1395691846,,,Continuous Trap,,
Draw Slime,https://uploads1.yugioh.com/card_images/4854/list/Draw-Slime_FL.jpg?1395691895,300,400,Effect Monster,2,Aqua
Drawber,https://uploads2.yugioh.com/card_images/4855/list/Drawber-%28Temp%29.jpg?1395691993,,,Normal Spell,,
Drawler,https://uploads1.yugioh.com/card_images/4856/list/Drawler-%28Temp%29.jpg?1395692089,0,0,Effect Monster,3,Rock
Dread Dragon,https://uploads1.yugioh.com/card_images/3639/list/5751.jpg?1385134776,1100,400,Tuner Monster,2,Dragon
Dream Cicada,https://uploads2.yugioh.com/card_images/5393/list/Suiminmin-the-Dream-Cicada.jpg?1439931547,300,1300,Effect Monster,,Insect
Dream Dice,https://uploads3.yugioh.com/card_images/729/list/Dream-dice.jpg?1380232997,,,Normal Spell/Spell,,
Dreamsprite,https://uploads3.yugioh.com/card_images/129/list/Dreamsprite.jpg?1374697728,300,200,Effect Monster,2,Plant
Dress Up,https://uploads2.yugioh.com/card_images/1310/list/1195.jpg?1385099467,,,Equip Spell,,
Drill Barnacle,https://uploads3.yugioh.com/card_images/1319/list/735.jpg?1385099485,300,0,Effect Monster,,Aqua
Drill Synchron,https://uploads1.yugioh.com/card_images/3590/list/5893.jpg?1385134679,800,300,Tuner Monster,3,Machine
Drill Warrior,https://uploads3.yugioh.com/card_images/3592/list/5894.jpg?1385134683,2400,2000,Synchro Monster/Effect Monster,6,Warrior
Drillago,https://uploads1.yugioh.com/card_images/1596/list/2289.jpg?1385101984,1600,1100,Normal Monster/Effect Monster,4,Machine
Drilloid,https://uploads3.yugioh.com/card_images/4362/list/Drilloid.jpg?1386956966,1600,1600,Effect Monster,4,Machine
Driven Daredevil,https://uploads2.yugioh.com/card_images/3969/list/5969.jpg?1385135462,2400,2100,Synchro Monster/Effect Monster,7,Warrior
Driving Snow,https://uploads4.yugioh.com/card_images/3326/list/4663.jpg?1385128003,,,Normal Trap,,
Dromi the Sacred Shackles,https://uploads3.yugioh.com/card_images/4857/list/Dromi-the-Sacred-Shackles.jpg?1395692146,,,Normal Trap,,
Drop Exchange,https://uploads3.yugioh.com/card_images/680/list/Touka-koukan.jpg?1380227605,,,Normal Spell/Spell,,
Drop Off,https://uploads2.yugioh.com/card_images/1886/list/1781.jpg?1385102572,,,Normal Trap,,
Dual Gate,https://uploads1.yugioh.com/card_images/4858/list/Dual-Gate.jpg?1395692206,,,Normal Spell,,
Duelist's Glove,https://uploads2.yugioh.com/card_images/4859/list/Duelists'-Glove-CardFL.jpg?1395692280,,,Other,,
Dummy Marker,https://uploads4.yugioh.com/card_images/5394/list/Dummy-Marker.jpg?1439931608,,,Normal Trap,,
Dunames Dark Witch,https://uploads4.yugioh.com/card_images/1769/list/1351.jpg?1385102333,1800,1050,Normal Monster,4,Fairy
Dungeon Worm,https://uploads3.yugioh.com/card_images/2288/list/2319.jpg?1385103387,1800,1500,Normal Monster,5,Insect
Dust Tornado,https://uploads4.yugioh.com/card_images/453/list/5DS2-EN034-Dust-Tornado.jpg?1375218175,,,Normal Trap,,
Dyna Base,https://uploads1.yugioh.com/card_images/4597/list/Dino-Base.jpg?1390512721,0,2100,Effect Monster,4,Machine
Dyna Tank,https://uploads1.yugioh.com/card_images/4598/list/Dino-Tank.jpg?1390512776,0,2100,Fusion Monster/Effect Monster,7,Machine
DZW - Chimera Clad,https://uploads3.yugioh.com/card_images/5197/list/DZW-Chimera-Clad.jpg?1422911614,0,0,Effect Monster,,Fiend
E - Emergency Call,https://uploads1.yugioh.com/card_images/1229/list/1293.jpg?1385099306,,,Normal Spell,,
E Force,https://uploads2.yugioh.com/card_images/4363/list/E-force.jpg?1386957011,,,Quick-Play Spell,,
Eagle Shark,https://uploads4.yugioh.com/card_images/5198/list/Eagle-Shark.jpg?1422911656,1000,1800,Effect Monster,,Fish
Earth Armor Ninja,https://uploads1.yugioh.com/card_images/596/list/Kikouninjiya-Earth.jpg?1380219368,1600,1200,Effect Monster,,Warrior
Earthbound Immortal Aslla Piscu,https://uploads1.yugioh.com/card_images/4001/list/4992.jpg?1385135528,2500,2500,Effect Monster,10,Winged Beast
Earthbound Immortal Ccapac Apu,https://uploads4.yugioh.com/card_images/3997/list/4989.jpg?1385135519,3000,2500,Effect Monster,10,Fiend
Earthbound Immortal Chacu Challhua,https://uploads3.yugioh.com/card_images/3999/list/4990.jpg?1385135524,2900,2400,Effect Monster,10,Fish
Earthbound Immortal Cusillu,https://uploads3.yugioh.com/card_images/4860/list/Earthbound-Immortal-Cusillu.jpg?1395692444,2800,2400,Effect Monster,10,Beast
Earthbound Immortal Uru,https://uploads3.yugioh.com/card_images/3825/list/4991.jpg?1385135168,3000,3000,Effect Monster,10,Insect
Earthbound Immortal Wiraqocha Rasca,https://uploads3.yugioh.com/card_images/4861/list/Earthbound-Immortal-Wiraqocha-Rasca.jpg?1395692723,1,1,Effect Monster,10,Winged Beast
Earthbound Release,https://uploads4.yugioh.com/card_images/4156/list/4988.jpg?1385135841,,,Normal Trap,,
Earthbound Spirit,https://uploads3.yugioh.com/card_images/2015/list/2146.jpg?1385102833,500,2000,Normal Monster,4,Fiend
Earthbound Wave,https://uploads4.yugioh.com/card_images/3769/list/5457.jpg?1385135048,,,Counter Trap,,
Earthbound Whirlwind,https://uploads3.yugioh.com/card_images/3831/list/4995.jpg?1385135181,,,Normal Spell,,
Earthquake,https://uploads4.yugioh.com/card_images/951/list/049.jpg?1382472228,,,Normal Spell,,
Earthquake Giant,https://uploads4.yugioh.com/card_images/3465/list/5745.jpg?1385134429,1600,2100,Effect Monster,5,Rock
Earthshaker,https://uploads2.yugioh.com/card_images/132/list/Earthshaker.jpg?1374697819,,,Normal Trap,,
Ebon Arrow,https://uploads2.yugioh.com/card_images/3484/list/5175.jpg?1385134467,,,Normal Trap,,
Ebon Magician Curran,https://uploads3.yugioh.com/card_images/4862/list/Ebon-Magician-Curran_FL.jpg?1395692793,1200,0,Effect Monster,2,Spellcaster
Eccentric Boy,https://uploads4.yugioh.com/card_images/4112/list/5925.jpg?1385135752,800,200,Tuner Monster,3,Spellcaster
Echo Mirror,https://uploads4.yugioh.com/card_images/4863/list/Echo-Mirror.jpg?1395692845,,,Normal Trap,,
Eco Spell - Recycle,https://uploads4.yugioh.com/card_images/645/list/Eco-Magic-_Re-useable!_.jpg?1380225653,,,Normal Spell/Spell,,
Eco Spell - Reduce Waste,https://uploads2.yugioh.com/card_images/644/list/Eco-Magic-_Stop-Littering!_.jpg?1380225604,,,Normal Spell/Spell,,
Ecole de Zone,https://uploads4.yugioh.com/card_images/3471/list/5501.jpg?1385134440,,,Field Spell,,
Ectoplasmer,https://uploads1.yugioh.com/card_images/1500/list/2987.jpg?1385101791,,,Continuous Spell,,
Edge Hammer,https://uploads3.yugioh.com/card_images/4864/list/Edge-Hammer.jpg?1395692896,,,Normal Trap,,
Edict of Atlantis,https://uploads1.yugioh.com/card_images/5110/list/Authority-of-Atlantis.jpg?1410972329,,,Spell,,
Effect Veiler,https://uploads4.yugioh.com/card_images/3709/list/6038.jpg?1385134924,0,0,Tuner Monster,1,Spellcaster
Egotistical Ape,https://uploads4.yugioh.com/card_images/4143/list/5971.jpg?1385135815,1200,1200,Tuner Monster,5,Beast
Elastic Space,https://uploads3.yugioh.com/card_images/5222/list/Elastic-Space.jpg?1423073456,,,Trap,,
Electric Lizard,https://uploads1.yugioh.com/card_images/3351/list/4330.jpg?1385128054,850,800,Effect Monster,3,Thunder
Electromagnetic Magnedragon,https://uploads3.yugioh.com/card_images/4956/list/Super-Electromagnetic-Dragon---Magnedragon.jpg?1398380081,3500,1500,Fusion Monster/Effect Monster,,Rock
Electromagnetic Turtle,https://uploads2.yugioh.com/card_images/134/list/Electromagnetic-TurtleJP.jpg?1374697888,0,1800,Effect Monster,4,Machine
Elegant Egotist,https://uploads1.yugioh.com/card_images/4384/list/Elegant-Egotist-CardFL.jpg?1386973135,,,Normal Spell,,
Elegant Light LV4,https://uploads1.yugioh.com/card_images/4741/list/Elegant-Light-LV4_FL.jpg?1394553710,,,Normal Trap,,
Element Saurus,https://uploads4.yugioh.com/card_images/2271/list/1453.jpg?1385103355,1500,1200,Effect Monster,4,Dinosaur
Element Sword,https://uploads3.yugioh.com/card_images/4866/list/Element-Sword.jpg?1395693083,,,Equip Spell,,
Elemental Absorber,https://uploads1.yugioh.com/card_images/1096/list/1229.jpg?1385099036,,,Continuous Trap,,
Elemental Burst,https://uploads1.yugioh.com/card_images/4867/list/elemental-burst.jpg?1395693142,,,Normal Trap,,
Elemental HERO Air Neos,https://uploads1.yugioh.com/card_images/4374/list/E.HERO-Air-Neos.HERO-Ear-Neos.jpg?1386972760,2500,2000,Fusion Monster/Effect Monster,7,Warrior
Elemental HERO Aqua Neos,https://uploads1.yugioh.com/card_images/2931/list/3711.jpg?1385127253,2500,2000,Fusion Monster/Effect Monster,7,Warrior
Elemental HERO Avian,https://uploads4.yugioh.com/card_images/2462/list/616.jpg?1385098599,1000,1000,Normal Monster,3,Warrior
Elemental HERO Bladedge,https://uploads3.yugioh.com/card_images/4385/list/Elemental-Hero-Bladedge.jpg?1386973170,2600,1800,Effect Monster,7,Warrior
Elemental HERO Bubbleman,https://uploads2.yugioh.com/card_images/1288/list/1174.jpg?1385099423,800,1200,Effect Monster,4,Warrior
Elemental HERO Burstinatrix,https://uploads4.yugioh.com/card_images/2761/list/3669.jpg?1385126925,1200,800,Normal Monster,3,Warrior
Elemental HERO Chaos Neos,https://uploads4.yugioh.com/card_images/4375/list/E.HERO-Chaos-Neos.jpg?1386972794,3000,2500,Fusion Monster/Effect Monster,9,Warrior
Elemental HERO Clay Guardian,https://uploads2.yugioh.com/card_images/4364/list/E-HERO-clay-guardman.jpg?1386957073,0,2800,Fusion Monster/Effect Monster,4,Warrior
